,nd,tsd
893,48880,49585
894,48541,49177
895,49549,50184
896,51247,51882
897,53741,54373
898,55355,55986
899,55057,55687
900,54301,54933
901,53445,54146
902,52343,53029
903,51008,51695
904,49040,49840
905,47511,48321
906,45919,46802
907,43335,44230
908,41378,42680
909,39237,41250
910,36686,38633
911,35185,37135
912,35689,37574
913,35555,37478
914,35423,37335
915,34814,36727
916,34590,36634
917,34837,36884
918,34229,36273
919,33340,35373
920,32730,34758
921,32522,34445
922,32879,35631
923,33864,36563
924,36833,39602
925,40361,42551
926,44665,46362
927,47190,48906
928,47803,49388
929,47541,49245
930,48388,50102
931,48627,50395
932,48599,50406
933,48628,50452
934,48740,50606
935,48747,50594
936,48901,50775
937,48647,50564
938,48523,50465
939,48363,50280
940,48192,50103
941,48120,50052
942,48019,48895
943,48965,49837
944,50521,51271
945,53159,53764
946,54838,55443
947,54920,55568
948,54484,55105
949,53828,54500
950,52538,53248
951,51188,51939
952,50214,51065
953,48264,49150
954,46574,47522
955,44200,45164
956,41902,43649
957,39799,41894
958,37435,39794
959,36226,38577
960,36710,38825
961,36572,39002
962,36484,38712
963,35936,38156
964,35628,37827
965,35828,38029
966,35184,37499
967,34480,36938
968,33785,36229
969,33643,36076
970,33968,37412
971,35010,38650
972,37932,41272
973,41493,43714
974,45606,47398
975,48111,50049
976,48637,50697
977,48588,51079
978,49288,51426
979,49417,51502
980,49284,51370
981,49210,51299
982,49292,51649
983,49238,51626
984,49223,51695
985,48811,51246
986,48572,51039
987,48381,50722
988,48369,50623
989,48185,50494
990,47932,48853
991,48780,49515
992,50473,51195
993,53634,54304
994,55492,56098
995,54720,55389
996,53976,54623
997,53216,53888
998,51965,52675
999,50776,51529
1000,49363,50242
1001,47337,48276
1002,45510,46693
1003,43396,44544
1004,41257,42540
1005,39354,40983
1006,36787,38849
1007,35300,37316
1008,35730,37682
1009,35559,37492
1010,35533,37454
1011,34925,36830
1012,34499,36446
1013,34689,36561
1014,33980,35780
1015,33169,34955
1016,32487,34263
1017,32239,34009
1018,32434,35157
1019,33416,36153
1020,36485,39149
1021,39829,41972
1022,44022,45823
1023,46532,48521
1024,47475,49410
1025,47058,48943
1026,47740,49417
1027,47949,49731
1028,48195,50023
1029,48243,50067
1030,48391,50161
1031,48337,50128
1032,48418,50229
1033,47900,49711
1034,47715,49519
1035,47300,49102
1036,47073,48852
1037,46917,48594
1038,46569,47445
1039,47489,48361
1040,48774,49529
1041,51826,52440
1042,54454,55067
1043,54285,54938
1044,53546,54196
1045,52821,53456
1046,51929,52625
1047,50383,51228
1048,49073,49957
1049,47063,48016
